,well,serum,dilution_factor,replicate,fastq
0,A10,MOItest_conc1,2,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc1_S80_R1_001.fastq.gz
1,B10,MOItest_conc2,4,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc2_S79_R1_001.fastq.gz
2,C10,MOItest_conc3,8,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc3_S78_R1_001.fastq.gz
3,D10,MOItest_conc4,16,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc4_S77_R1_001.fastq.gz
4,E10,MOItest_conc5,32,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc5_S76_R1_001.fastq.gz
5,F10,MOItest_conc6,64,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc6_S75_R1_001.fastq.gz
6,G10,MOItest_conc7,128,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc7_S74_R1_001.fastq.gz
7,H10,MOItest_conc8,256,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep1_conc8_S73_R1_001.fastq.gz
8,A11,MOItest_conc1,2,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc1_S88_R1_001.fastq.gz
9,B11,MOItest_conc2,4,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc2_S87_R1_001.fastq.gz
10,C11,MOItest_conc3,8,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc3_S86_R1_001.fastq.gz
11,D11,MOItest_conc4,16,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc4_S85_R1_001.fastq.gz
12,E11,MOItest_conc5,32,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc5_S84_R1_001.fastq.gz
13,F11,MOItest_conc6,64,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc6_S83_R1_001.fastq.gz
14,G11,MOItest_conc7,128,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc7_S82_R1_001.fastq.gz
15,H11,MOItest_conc8,256,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep2_conc8_S81_R1_001.fastq.gz
16,A12,MOItest_conc1,2,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc1_S96_R1_001.fastq.gz
17,B12,MOItest_conc2,4,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc2_S95_R1_001.fastq.gz
18,C12,MOItest_conc3,8,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc3_S94_R1_001.fastq.gz
19,D12,MOItest_conc4,16,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc4_S93_R1_001.fastq.gz
20,E12,MOItest_conc5,32,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc5_S92_R1_001.fastq.gz
21,F12,MOItest_conc6,64,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc6_S91_R1_001.fastq.gz
22,G12,MOItest_conc7,128,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc7_S90_R1_001.fastq.gz
23,H12,MOItest_conc8,256,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240229_VH01189_243_AAFKKGJM5/Unaligned/Project_aloes/MOItest_rep3_conc8_S89_R1_001.fastq.gz
