,well,serum,dilution_factor,replicate,fastq
11,E2,PENN23_y1977_s035_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_12_S108_R1_001.fastq.gz
12,D2,PENN23_y1987_s036_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_13_S109_R1_001.fastq.gz
13,C2,PENN23_y1987_s036_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_14_S110_R1_001.fastq.gz
14,B2,PENN23_y1996_s043_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_15_S111_R1_001.fastq.gz
15,A2,PENN23_y1996_s043_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_16_S112_R1_001.fastq.gz
16,H3,PENN23_y1964_s006_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_17_S113_R1_001.fastq.gz
17,G3,PENN23_y1964_s006_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_18_S114_R1_001.fastq.gz
18,F3,PENN23_y1977_s035_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_19_S115_R1_001.fastq.gz
19,E3,PENN23_y1977_s035_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_20_S116_R1_001.fastq.gz
20,D3,PENN23_y1987_s036_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_21_S117_R1_001.fastq.gz
21,C3,PENN23_y1987_s036_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_22_S118_R1_001.fastq.gz
22,B3,PENN23_y1996_s043_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_23_S119_R1_001.fastq.gz
23,A3,PENN23_y1996_s043_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_24_S120_R1_001.fastq.gz
24,H4,PENN23_y1964_s006_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_25_S121_R1_001.fastq.gz
25,G4,PENN23_y1964_s006_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_26_S122_R1_001.fastq.gz
26,F4,PENN23_y1977_s035_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_27_S123_R1_001.fastq.gz
27,E4,PENN23_y1977_s035_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_28_S124_R1_001.fastq.gz
28,D4,PENN23_y1987_s036_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_29_S125_R1_001.fastq.gz
29,C4,PENN23_y1987_s036_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_30_S126_R1_001.fastq.gz
30,B4,PENN23_y1996_s043_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_31_S127_R1_001.fastq.gz
31,A4,PENN23_y1996_s043_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_32_S128_R1_001.fastq.gz
32,H5,PENN23_y1964_s006_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_33_S129_R1_001.fastq.gz
33,G5,PENN23_y1964_s006_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_34_S130_R1_001.fastq.gz
34,F5,PENN23_y1977_s035_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_35_S131_R1_001.fastq.gz
35,E5,PENN23_y1977_s035_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_36_S132_R1_001.fastq.gz
36,D5,PENN23_y1987_s036_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_37_S133_R1_001.fastq.gz
37,C5,PENN23_y1987_s036_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_38_S134_R1_001.fastq.gz
38,B5,PENN23_y1996_s043_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_39_S135_R1_001.fastq.gz
39,A5,PENN23_y1996_s043_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_40_S136_R1_001.fastq.gz
40,H6,PENN23_y1964_s006_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_41_S137_R1_001.fastq.gz
41,G6,PENN23_y1964_s006_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_42_S138_R1_001.fastq.gz
42,F6,PENN23_y1977_s035_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_43_S139_R1_001.fastq.gz
43,E6,PENN23_y1977_s035_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_44_S140_R1_001.fastq.gz
44,D6,PENN23_y1987_s036_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_45_S141_R1_001.fastq.gz
45,C6,PENN23_y1987_s036_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_46_S142_R1_001.fastq.gz
46,B6,PENN23_y1996_s043_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_47_S143_R1_001.fastq.gz
47,A6,PENN23_y1996_s043_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_48_S144_R1_001.fastq.gz
48,H7,PENN23_y1964_s006_d0,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_49_S145_R1_001.fastq.gz
49,G7,PENN23_y1964_s006_d28,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_50_S146_R1_001.fastq.gz
50,F7,PENN23_y1977_s035_d0,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_51_S147_R1_001.fastq.gz
51,E7,PENN23_y1977_s035_d28,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_52_S148_R1_001.fastq.gz
52,D7,PENN23_y1987_s036_d0,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_53_S149_R1_001.fastq.gz
53,C7,PENN23_y1987_s036_d28,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_54_S150_R1_001.fastq.gz
54,B7,PENN23_y1996_s043_d0,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_55_S151_R1_001.fastq.gz
55,A7,PENN23_y1996_s043_d28,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_56_S152_R1_001.fastq.gz
56,H8,PENN23_y1964_s006_d0,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_57_S153_R1_001.fastq.gz
57,G8,PENN23_y1964_s006_d28,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_58_S154_R1_001.fastq.gz
58,F8,PENN23_y1977_s035_d0,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_59_S155_R1_001.fastq.gz
59,E8,PENN23_y1977_s035_d28,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_60_S156_R1_001.fastq.gz
60,D8,PENN23_y1987_s036_d0,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_61_S157_R1_001.fastq.gz
61,C8,PENN23_y1987_s036_d28,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_62_S158_R1_001.fastq.gz
62,B8,PENN23_y1996_s043_d0,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_63_S159_R1_001.fastq.gz
63,A8,PENN23_y1996_s043_d28,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_64_S160_R1_001.fastq.gz
64,H9,PENN23_y1964_s006_d0,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_65_S161_R1_001.fastq.gz
65,G9,PENN23_y1964_s006_d28,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_66_S162_R1_001.fastq.gz
66,F9,PENN23_y1977_s035_d0,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_67_S163_R1_001.fastq.gz
67,E9,PENN23_y1977_s035_d28,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_68_S164_R1_001.fastq.gz
68,D9,PENN23_y1987_s036_d0,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_69_S165_R1_001.fastq.gz
69,C9,PENN23_y1987_s036_d28,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_70_S166_R1_001.fastq.gz
70,B9,PENN23_y1996_s043_d0,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_71_S167_R1_001.fastq.gz
71,A9,PENN23_y1996_s043_d28,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_72_S168_R1_001.fastq.gz
72,H10,PENN23_y1964_s006_d0,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_73_S169_R1_001.fastq.gz
73,G10,PENN23_y1964_s006_d28,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_74_S170_R1_001.fastq.gz
74,F10,PENN23_y1977_s035_d0,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_75_S171_R1_001.fastq.gz
75,E10,PENN23_y1977_s035_d28,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_76_S172_R1_001.fastq.gz
76,D10,PENN23_y1987_s036_d0,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_77_S173_R1_001.fastq.gz
77,C10,PENN23_y1987_s036_d28,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_78_S174_R1_001.fastq.gz
78,B10,PENN23_y1996_s043_d0,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_79_S175_R1_001.fastq.gz
79,A10,PENN23_y1996_s043_d28,10240,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_80_S176_R1_001.fastq.gz
80,H11,PENN23_y1964_s006_d0,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_81_S177_R1_001.fastq.gz
81,G11,PENN23_y1964_s006_d28,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_82_S178_R1_001.fastq.gz
82,F11,PENN23_y1977_s035_d0,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_83_S179_R1_001.fastq.gz
83,E11,PENN23_y1977_s035_d28,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_84_S180_R1_001.fastq.gz
84,D11,PENN23_y1987_s036_d0,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_85_S181_R1_001.fastq.gz
85,C11,PENN23_y1987_s036_d28,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_86_S182_R1_001.fastq.gz
86,B11,PENN23_y1996_s043_d0,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_87_S183_R1_001.fastq.gz
87,A11,PENN23_y1996_s043_d28,20480,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_88_S184_R1_001.fastq.gz
88,H12,PENN23_y1964_s006_d0,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_89_S185_R1_001.fastq.gz
89,G12,PENN23_y1964_s006_d28,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_90_S186_R1_001.fastq.gz
90,F12,PENN23_y1977_s035_d0,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_91_S187_R1_001.fastq.gz
91,E12,PENN23_y1977_s035_d28,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_92_S188_R1_001.fastq.gz
92,D12,PENN23_y1987_s036_d0,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_93_S189_R1_001.fastq.gz
93,C12,PENN23_y1987_s036_d28,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_94_S190_R1_001.fastq.gz
94,B12,PENN23_y1996_s043_d0,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_95_S191_R1_001.fastq.gz
95,A12,PENN23_y1996_s043_d28,40960,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_96_S192_R1_001.fastq.gz
