,well,serum,dilution_factor,replicate,fastq
0,H1,none,0,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_1_S97_R1_001.fastq.gz
1,G1,none,0,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_2_S98_R1_001.fastq.gz
2,F1,none,0,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_3_S99_R1_001.fastq.gz
3,E1,none,0,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_4_S100_R1_001.fastq.gz
4,D1,none,0,5,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_5_S101_R1_001.fastq.gz
5,C1,none,0,6,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_6_S102_R1_001.fastq.gz
6,B1,none,0,7,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_7_S103_R1_001.fastq.gz
7,A1,none,0,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_8_S104_R1_001.fastq.gz
8,H2,PENN23_y1964_s006_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_9_S105_R1_001.fastq.gz
9,G2,PENN23_y1964_s006_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_10_S106_R1_001.fastq.gz
10,F2,PENN23_y1977_s035_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240620_VH01189_298_AAFT32LM5/Unaligned/Project_aloes/PlateB_11_S107_R1_001.fastq.gz
